match,aliases
europapark,"ep|europa park|europapark|europa-park|rust|euro park"
phantasialand,"pl|phantasia land|phantasia|bruehl|bruhl"
heidepark,"heide park|hp|soltau"
disneylandparis,"dlp|disneyland paris|euro disney|disney paris|parc disneyland|walt disney studios"
efteling,"eft|de efteling|kaatsheuvel"
legoland,"lego land|lego|legoland deutschland|legoland germany"
moviepark,"movie park|moviepark germany|mpg|bottrop"
belantis,"freizeitpark belantis|leipzig"
holidaypark,"holiday park|hopa|hassloch|haßloch"
walibi,"walibi holland|walibi belgium|walibi"
gardaland,"garda land|lago di garda"
